"";"loading1";"loading2";"correlation";"n";"rrdelta001";"rrdelta005";"rrdelta010";"rrboot001";"rrboot005";"rrboot010";"tdelta";"tboot"
"1";1;1;0,7;50;0,9495;0,996;0,9988;0,973;0,9957;0,9982;0.0136471449613571;3.89144084873199
"2";1;1;0,7;100;0,9999;0,9999;1;0,9999;0,9999;1;0.0143584516525269;3.91939870128632
"3";1;1;0,7;200;1;1;1;1;1;1;0.0157644824028015;3.95423848922253
"4";1;1;0,7;400;1;1;1;1;1;1;0.0162788196802139;3.96743577990532
"5";1;1;0,7;800;1;1;1;1;1;1;0.0205314667224884;4.12599486205578
"6";1;1;0,7;1600;1;1;1;1;1;1;0.0267876262187958;4.41591608839035
"7";1;1;0,7;3200;1;1;1;1;1;1;0.0412976434230804;5.04691527490616
"8";1;1;0,7;6400;1;1;1;1;1;1;0.0737124054908752;6.53286350052357
"9";1;1;0,7;12800;1;1;1;1;1;1;0.169123855113983;10.6450088220119
"10";1;1;0,8;50;0,7609;0,9561;0,9849;0,8305;0,9518;0,9797;0.0141285099029541;3.89920363059044
"11";1;1;0,8;100;0,9937;0,9997;0,9999;0,9961;0,9994;0,9999;0.0146883918046951;3.91838229620457
"12";1;1;0,8;200;1;1;1;1;1;1;0.015452928185463;3.93773383512497
"13";1;1;0,8;400;1;1;1;1;1;1;0.0171850320339203;3.98473720521927
"14";1;1;0,8;800;1;1;1;1;1;1;0.0212897419452667;4.13193483242989
"15";1;1;0,8;1600;1;1;1;1;1;1;0.0290571164608002;4.42400114068985
"16";1;1;0,8;3200;1;1;1;1;1;1;0.0420864634990692;5.07438931560516
"17";1;1;0,8;6400;1;1;1;1;1;1;0.074735160946846;6.48545932195187
"18";1;1;0,8;12800;1;1;1;1;1;1;0.166291988754272;10.5024747499228
"19";1;1;0,9;50;0,2778;0,6489;0,7926;0,355;0,6286;0,7565;0.0137203055858612;3.89952022714615
"20";1;1;0,9;100;0,7083;0,9164;0,9626;0,7627;0,9141;0,9568;0.0144156243801117;3.89381795306206
"21";1;1;0,9;200;0,9795;0,9974;0,9993;0,9821;0,9973;0,9993;0.0153585938692093;3.91437290210724
"22";1;1;0,9;400;0,9999;1;1;0,9998;1;1;0.0172613642215729;3.97611338498592
"23";1;1;0,9;800;1;1;1;1;1;1;0.0212424835443497;4.11672299568653
"24";1;1;0,9;1600;1;1;1;1;1;1;0.0275713907957077;4.41042232711315
"25";1;1;0,9;3200;1;1;1;1;1;1;0.0404951028108597;5.04947722680569
"26";1;1;0,9;6400;1;1;1;1;1;1;0.0747554740905762;6.45423156039715
"27";1;1;0,9;12800;1;1;1;1;1;1;0.165584444713593;10.4418424793243
"28";1;1;1;50;0,002;0,0283;0,0705;0,0033;0,0241;0,0553;0.0138828091621399;3.86703417038918
"29";1;1;1;100;0,0039;0,0321;0,073;0,0061;0,0296;0,0637;0.0143179527759552;3.89334566862583
"30";1;1;1;200;0,0051;0,0386;0,0873;0,0069;0,0374;0,0794;0.0153832962036133;3.91131753590107
"31";1;1;1;400;0,0062;0,0383;0,0841;0,008;0,0385;0,0805;0.0170509126663208;3.94739011862278
"32";1;1;1;800;0,0067;0,0421;0,086;0,0088;0,0418;0,0838;0.020775964474678;4.11419293501377
"33";1;1;1;1600;0,0056;0,0458;0,0936;0,0076;0,0444;0,0932;0.0279208331346512;4.3895307677269
"34";1;1;1;3200;0,0095;0,0505;0,0974;0,0119;0,0522;0,0982;0.0411484127283096;5.00371931197643
"35";1;1;1;6400;0,0095;0,0479;0,0975;0,0107;0,0493;0,0997;0.0764146474838257;6.44725603501797
"36";1;1;1;12800;0,0085;0,0442;0,0945;0,0093;0,0454;0,0948;0.166102857136726;10.472634672761
