"";"loading1";"loading2";"correlation";"n";"rrdelta001";"rrdelta005";"rrdelta010";"rrboot001";"rrboot005";"rrboot010";"tdelta";"tboot"
"1";1;1;0,7;50;0,8489;0,9727;0,9915;0,9355;0,9837;0,9934;0.0146885411500931;3.92924841866493
"2";1;1;0,7;100;0,9921;0,9994;0,9999;0,9994;0,9999;1;0.0145837350845337;3.91774156663418
"3";1;1;0,7;200;0,9999;1;1;1;1;1;0.0156481117963791;3.95716548671722
"4";1;1;0,7;400;1;1;1;1;1;1;0.0175905410289764;4.00537631485462
"5";1;1;0,7;800;1;1;1;1;1;1;0.0219999575853348;4.12711878459454
"6";1;1;0,7;1600;1;1;1;1;1;1;0.029272150683403;4.43402793486118
"7";1;1;0,7;3200;1;1;1;1;1;1;0.0432960561275482;5.06429281411171
"8";1;1;0,7;6400;1;1;1;1;1;1;0.0780230216503143;6.52778924324512
"9";1;1;0,7;12800;1;1;1;1;1;1;0.162477437472343;10.4702999246597
"10";1;1;0,8;50;0,6325;0,8808;0,9475;0,7281;0,8977;0,9496;0.0140202111721039;3.89057773251534
"11";1;1;0,8;100;0,9435;0,9941;0,9986;0,9785;0,996;0,9984;0.0145159408569336;3.90153565309048
"12";1;1;0,8;200;0,9989;1;1;0,9999;1;1;0.0156782557249069;3.92747888119221
"13";1;1;0,8;400;1;1;1;1;1;1;0.0171287990570068;3.96246977992058
"14";1;1;0,8;800;1;1;1;1;1;1;0.0215625947713852;4.1388994155407
"15";1;1;0,8;1600;1;1;1;1;1;1;0.0286816062450409;4.44660794157982
"16";1;1;0,8;3200;1;1;1;1;1;1;0.0424072437524796;5.04482137651443
"17";1;1;0,8;6400;1;1;1;1;1;1;0.0711791615009308;6.42397851369381
"18";1;1;0,8;12800;1;1;1;1;1;1;0.155497054362297;10.4198509100914
"19";1;1;0,9;50;0,2427;0,5401;0,6947;0,2614;0,5164;0,6587;0.0152982864379883;3.84252227313519
"20";1;1;0,9;100;0,5386;0,8185;0,9045;0,6077;0,8259;0,8994;0.0157695911884308;3.8665339343071
"21";1;1;0,9;200;0,897;0,9813;0,9937;0,9311;0,9837;0,9939;0.0165733245134354;3.88613027486801
"22";1;1;0,9;400;0,9977;0,9997;1;0,9987;0,9999;1;0.0182402874469757;3.93580669741631
"23";1;1;0,9;800;1;1;1;1;1;1;0.022221782708168;4.06811645619869
"24";1;1;0,9;1600;1;1;1;1;1;1;0.0279631991624832;4.3604530200243
"25";1;1;0,9;3200;1;1;1;1;1;1;0.0409775884389877;4.97382808952332
"26";1;1;0,9;6400;1;1;1;1;1;1;0.0680923224210739;6.37752435772419
"27";1;1;0,9;12800;1;1;1;1;1;1;0.155987709903717;10.3571261301756
"28";1;1;1;50;0,0063;0,0348;0,0737;0,0021;0,0174;0,042;0.0135626415967941;3.83246265535355
"29";1;1;1;100;0,0055;0,0303;0,0738;0,0037;0,0204;0,05;0.0141543065309525;3.84267675697803
"30";1;1;1;200;0,0057;0,0339;0,078;0,0057;0,0275;0,0636;0.0150537491798401;3.87459727442265
"31";1;1;1;400;0,0055;0,0339;0,0762;0,0056;0,0319;0,0667;0.016800444483757;3.91915760192871
"32";1;1;1;800;0,0075;0,0403;0,089;0,0087;0,0398;0,0813;0.0205455719470978;4.05478915958405
"33";1;1;1;1600;0,0065;0,0393;0,0881;0,008;0,0385;0,0856;0.0268457334041595;4.33423362503052
"34";1;1;1;3200;0,0067;0,0421;0,0901;0,0085;0,0423;0,0881;0.0400945559978485;4.97327858433723
"35";1;1;1;6400;0,0093;0,0472;0,0937;0,0112;0,0478;0,0907;0.0721096481800079;6.3608005692482
"36";1;1;1;12800;0,0079;0,047;0,0929;0,0093;0,0482;0,0942;0.155553085899353;10.3479874933481
