"";"correlation";"n";"rrdelta005";"rrboot005"
"1";0,7;50;0,9727;0,9837
"2";0,7;100;0,9994;0,9999
"3";0,7;200;1;1
"4";0,7;400;1;1
"5";0,7;800;1;1
"6";0,7;1600;1;1
"7";0,7;3200;1;1
"8";0,7;6400;1;1
"9";0,7;12800;1;1
"10";0,8;50;0,8808;0,8977
"11";0,8;100;0,9941;0,996
"12";0,8;200;1;1
"13";0,8;400;1;1
"14";0,8;800;1;1
"15";0,8;1600;1;1
"16";0,8;3200;1;1
"17";0,8;6400;1;1
"18";0,8;12800;1;1
"19";0,9;50;0,5401;0,5164
"20";0,9;100;0,8185;0,8259
"21";0,9;200;0,9813;0,9837
"22";0,9;400;0,9997;0,9999
"23";0,9;800;1;1
"24";0,9;1600;1;1
"25";0,9;3200;1;1
"26";0,9;6400;1;1
"27";0,9;12800;1;1
"28";1;50;0,0348;0,0174
"29";1;100;0,0303;0,0204
"30";1;200;0,0339;0,0275
"31";1;400;0,0339;0,0319
"32";1;800;0,0403;0,0398
"33";1;1600;0,0393;0,0385
"34";1;3200;0,0421;0,0423
"35";1;6400;0,0472;0,0478
"36";1;12800;0,047;0,0482
