"";"loading1";"loading2";"correlation";"n";"rrdelta001";"rrdelta005";"rrdelta010";"rrboot001";"rrboot005";"rrboot010";"tdelta";"tboot"
"1";1;1;0,7;50;0,955;0,996;1;0,973;0,995;0,999;0.0169037613868713;3.88847852253914
"2";1;1;0,7;100;1;1;1;1;1;1;0.0143858458995819;3.89061419820786
"3";1;1;0,7;200;1;1;1;1;1;1;0.0149507775306702;3.91100366306305
"4";1;1;0,7;400;1;1;1;1;1;1;0.0160490000247955;3.95466906428337
"5";1;1;0,8;50;0,777;0,952;0,981;0,845;0,946;0,979;0.0138454158306122;3.88250197005272
"6";1;1;0,8;100;0,998;1;1;1;1;1;0.0142515351772308;3.88861040019989
"7";1;1;0,8;200;1;1;1;1;1;1;0.0147024474143982;3.90544138908386
"8";1;1;0,8;400;1;1;1;1;1;1;0.0161443238258362;3.93175667834282
"9";1;1;0,9;50;0,266;0,649;0,789;0,347;0,63;0,75;0.013142441034317;3.84580596160889
"10";1;1;0,9;100;0,71;0,914;0,968;0,76;0,913;0,962;0.0132565050125122;3.85966163063049
"11";1;1;0,9;200;0,975;0,996;0,999;0,983;0,996;0,999;0.0146698412895203;3.88777745652199
"12";1;1;0,9;400;1;1;1;1;1;1;0.0152835826873779;3.93560887670517
"13";1;1;1;50;0,007;0,03;0,077;0,011;0,028;0,067;0.0133584733009338;3.84995979428291
"14";1;1;1;100;0,006;0,042;0,078;0,007;0,039;0,07;0.0142439897060394;3.86817647743225
"15";1;1;1;200;0,004;0,033;0,085;0,008;0,03;0,076;0.014126846075058;3.88494586849213
"16";1;1;1;400;0,001;0,045;0,087;0,003;0,038;0,085;0.0156987051963806;3.9309193136692
